2, 8999, Note_off_c, 0, 67, 0
2, 9000, Note_on_c, 0, 69, 80
2, 9119, Note_off_c, 0, 69, 0
2, 9120, Note_on_c, 0, 70, 80
2, 9239, Note_off_c, 0, 70, 0
2, 9240, Note_on_c, 0, 72, 80
2, 9359, Note_off_c, 0, 72, 0
2, 9360, Note_on_c, 0, 74, 80
2, 9479, Note_off_c, 0, 74, 0
2, 9480, Note_on_c, 0, 76, 80
2, 9599, Note_off_c, 0, 76, 0
2, 9600, Note_on_c, 0, 77, 105
2, 9719, Note_off_c, 0, 77, 0
2, 9720, Note_on_c, 0, 76, 80
2, 9839, Note_off_c, 0, 76, 0
2, 9840, Note_on_c, 0, 74, 80
2, 9959, Note_off_c, 0, 74, 0
2, 9960, Note_on_c, 0, 77, 80
2, 10079, Note_off_c, 0, 77, 0
2, 10080, Note_on_c, 0, 76, 80
2, 10199, Note_off_c, 0, 76, 0
2, 10200, Note_on_c, 0, 74, 80
2, 10319, Note_off_c, 0, 74, 0
2, 10320, Note_on_c, 0, 73, 80
2, 10439, Note_off_c, 0, 73, 0
2, 10440, Note_on_c, 0, 76, 80
2, 10559, Note_off_c, 0, 76, 0
2, 10560, Note_on_c, 0, 74, 95
2, 10799, Note_off_c, 0, 74, 0
2, 10800, Note_on_c, 0, 69, 80
2, 11039, Note_off_c, 0, 69, 0
2, 11040, Note_on_c, 0, 74, 80
2, 11279, Note_off_c, 0, 74, 0
2, 11280, Note_on_c, 0, 76, 80
2, 11519, Note_off_c, 0, 76, 0
2, 11520, Note_on_c, 0, 77, 105
2, 11639, Note_off_c, 0, 77, 0
2, 11640, Note_on_c, 0, 79, 80
2, 11759, Note_off_c, 0, 79, 0
2, 11760, Note_on_c, 0, 77, 80
2, 11879, Note_off_c, 0, 77, 0
2, 11880, Note_on_c, 0, 79, 80
2, 11999, Note_off_c, 0, 79, 0
2, 12000, Note_on_c, 0, 79, 80
2, 12359, Note_off_c, 0, 79, 0
2, 12360, Note_on_c, 0, 77, 80
2, 12419, Note_off_c, 0, 77, 0
2, 12420, Note_on_c, 0, 79, 80
2, 12479, Note_off_c, 0, 79, 0
2, 12480, Note_on_c, 0, 81, 95
2, 12599, Note_off_c, 0, 81, 0
2, 12600, Note_on_c, 0, 79, 80
2, 12719, Note_off_c, 0, 79, 0
2, 12720, Note_on_c, 0, 81, 80
2, 12839, Note_off_c, 0, 81, 0
2, 12840, Note_on_c, 0, 82, 80
2, 12959, Note_off_c, 0, 82, 0
2, 12960, Note_on_c, 0, 81, 80
2, 13079, Note_off_c, 0, 81, 0
2, 13080, Note_on_c, 0, 79, 80
2, 13199, Note_off_c, 0, 79, 0
2, 13200, Note_on_c, 0, 77, 80
2, 13319, Note_off_c, 0, 77, 0
2, 13320, Note_on_c, 0, 76, 80
2, 13439, Note_off_c, 0, 76, 0
2, 13440, Note_on_c, 0, 77, 105
2, 13559, Note_off_c, 0, 77, 0
2, 13560, Note_on_c, 0, 81, 80
2, 13679, Note_off_c, 0, 81, 0
2, 13680, Note_on_c, 0, 79, 80
2, 13799, Note_off_c, 0, 79, 0
2, 13800, Note_on_c, 0, 81, 80
2, 13919, Note_off_c, 0, 81, 0
2, 13920, Note_on_c, 0, 73, 80
2, 14039, Note_off_c, 0, 73, 0
2, 14040, Note_on_c, 0, 81, 80
2, 14159, Note_off_c, 0, 81, 0
2, 14160, Note_on_c, 0, 79, 80
2, 14279, Note_off_c, 0, 79, 0
2, 14280, Note_on_c, 0, 81, 80
2, 14399, Note_off_c, 0, 81, 0
2, 14400, Note_on_c, 0, 74, 95
2, 14519, Note_off_c, 0, 74, 0
2, 14520, Note_on_c, 0, 81, 80
2, 14639, Note_off_c, 0, 81, 0
2, 14640, Note_on_c, 0, 79, 80
2, 14759, Note_off_c, 0, 79, 0
2, 14760, Note_on_c, 0, 81, 80
2, 14879, Note_off_c, 0, 81, 0
2, 14880, Note_on_c, 0, 73, 80
2, 14999, Note_off_c, 0, 73, 0
2, 15000, Note_on_c, 0, 81, 80
2, 15119, Note_off_c, 0, 81, 0
2, 15120, Note_on_c, 0, 79, 80
2, 15239, Note_off_c, 0, 79, 0
2, 15240, Note_on_c, 0, 81, 80
2, 15359, Note_off_c, 0, 81, 0
2, 15360, Note_on_c, 0, 77, 105
2, 15479, Note_off_c, 0, 77, 0
2, 15480, Note_on_c, 0, 74, 80
2, 15599, Note_off_c, 0, 74, 0
2, 15600, Note_on_c, 0, 73, 80
2, 15719, Note_off_c, 0, 73, 0
2, 15720, Note_on_c, 0, 74, 80
2, 15839, Note_off_c, 0, 74, 0
2, 15840, Note_on_c, 0, 79, 80
2, 15959, Note_off_c, 0, 79, 0
2, 15960, Note_on_c, 0, 74, 80
2, 16079, Note_off_c, 0, 74, 0
2, 16080, Note_on_c, 0, 73, 80
2, 16199, Note_off_c, 0, 73, 0
2, 16200, Note_on_c, 0, 74, 80
2, 16319, Note_off_c, 0, 74, 0
2, 16320, Note_on_c, 0, 81, 95
2, 16439, Note_off_c, 0, 81, 0
2, 16440, Note_on_c, 0, 74, 80
2, 16559, Note_off_c, 0, 74, 0
2, 16560, Note_on_c, 0, 73, 80
